Wolf, animes2/spice-and-wolf-2024, Ookami to Koushinryou
Oshi no Ko, animes/oshi-no-ko, Oshi no Ko
Alya, animes2/alya-sometimes-hides-her-feelings-in-russian, Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san
Terrace, animes/the-cafe-terrace-and-its-goddesses, Megami no Cafe Terrace
Pseudo, animes2/pseudo-harem, Giji Harem
Hazurewaku, animes2/hazurewaku, Hazurewaku no Joutai Ijou Skill de Saikyou ni Natta Ore ga Subete wo Juurin Suru made
SHY, animes2/shy, Shy
2.5, animes2/2.5-dimensional-seduction, 2.5-jigen no Ririsa
Exploration, animes2/a-nobodys-way-up-to-an-explorarion-hero, Mob kara Hajimaru Tansaku Eiyuutan
Dahlia, animes2/dahlia-in-bloom-crafting-a-fresh-start-with-magical-tools, Madougushi Dahlia wa Utsumukanai
Nokotan, animes2/my-deer-friend-nokotan, Shikanoko Nokonoko Koshitantan
Remember, animes2/why-does-nobody-remember-me-in-this-world, Naze Boku no Sekai wo Daremo Oboeteinai no ka
Makeine, animes2/makeine-too-many-losing-heroines, Make Heroine ga Oosugiru
